Picture name/number;Label;Comment;Attribute;X Left;Y Bottom;X Right;Y Top;Die Type;Die Type (clean);Die complete;Die visible;x_center;y_center;width;height;classe_name;classe_id
IMG_1523.JPG;Lamache 1-1;;1;205.33333333333334;283.3939393939394;346.42424242424244;199.5151515151515;2012;2012;1.0;0.0;0.5388257575757576;0.47159090909090906;0.2755681818181818;0.16382575757575757;P-triangle;5
IMG_1524.JPG;0;;1;202.9090909090909;286.54545454545456;348.3636363636364;189.8181818181818;2012;2012;1.0;0.0;0.5383522727272727;0.46519886363636365;0.2840909090909091;0.18892045454545459;P-triangle;5
IMG_1537.JPG;Lamache 8;;1;128.24242424242425;350.3030303030303;287.5151515151515;193.21212121212122;2019;2019;0.0;1.0;0.40601325757575757;0.5307765151515151;0.3110795454545454;0.3068181818181818;P-triangle;5
IMG_1537.JPG;Lamache 8;;2;176.4848484848485;405.09090909090907;247.75757575757575;348.3636363636364;1010;1010;1.0;1.0;0.41429924242424243;0.7357954545454546;0.13920454545454541;0.11079545454545447;R-concentriques;0
IMG_1539.JPG;0;;1;140.6060606060606;233.6969696969697;358.06060606060606;16.96969696969697;2019;2019;0.0;1.0;0.48697916666666663;0.24479166666666666;0.4247159090909091;0.42329545454545453;P-triangle;5
IMG_1539.JPG;0;;2;209.6969696969697;308.6060606060606;288.969696969697;223.27272727272728;1010;1010;1.0;1.0;0.4869791666666667;0.5194128787878788;0.15482954545454553;0.16666666666666669;R-concentriques;0
IMG_1556.JPG;Lamache 16;;1;314.6666666666667;315.6363636363636;391.030303030303;176.72727272727272;2006;2006;0.0;1.0;0.689157196969697;0.48082386363636365;0.14914772727272718;0.2713068181818182;P-feuille;4
IMG_1557.JPG;0;;1;222.54545454545453;313.45454545454544;304.0;140.12121212121212;2006;2006;0.0;1.0;0.5142045454545454;0.44294507575757575;0.15909090909090912;0.33854166666666663;P-feuille;4
IMG_1557.JPG;0;;2;294.06060606060606;295.5151515151515;370.42424242424244;154.66666666666666;2006;2006;0.0;1.0;0.6489109848484849;0.43963068181818177;0.1491477272727273;0.27509469696969696;P-feuille;4
IMG_1563.JPG;Lamache 19;;1;274.1818181818182;322.6666666666667;336.4848484848485;210.9090909090909;2006;2006;1.0;1.0;0.5963541666666667;0.5210700757575758;0.12168560606060608;0.2182765151515152;P-feuille;4
